Code CATMINAT;Syntaxon
02/2.0.2.0.2;Polypogonion subspathacei Gamisans 1991
02/2.0.2.0.2/01;Polypogonetum subspathacei Gamisans 1991
02/2.0.2.0.2/02;Evacetum rotundatae Gamisans 1991
02/2.0.2.0.2/03;Centaurio tenuiflori subsp. acutiflori - Hordeetum marini Gamisans 1991
02/2.0.2.0.2/03;Parapholido strigosae - Hordeetum marini Géhu & Biondi 1994
02/2.0.2.0.2/04;Rostrarietum pubescentis Gamisans & Paradis 1992
02/2.0.2.0.2/05;Senecioni leucanthemifolii - Nanantheetum perpusillae Biondi, Filigheddu & Farris 2001
02/2.0.2.0.2/05;Nanantheetum perpusillae Brullo 1985
02/2.0.2.0.2/06;grpt à Silene sericea & Catapodium marinum Géhu & Biondi 1994
02/2.0.2.0.3;Limonion avei Brullo 1988
02/2.0.2.0.3/01;Isolepido cernuae - Saginetum maritimae Bartolo, Brullo, De Marco, Dinelli, Signorello & Spampinato 1992
02/3.;Salicornietea europaeae (Pignatti 1953) Tüxen 1954 apud Tüxen & Oberdorfer 1958
02/3.;Salicornietea europaeae (Pignatti 1953) Tüxen 1974
02/3.;Salicornietea europaeae Pignatti 1953 em. Tüxen 1955
02/3.;Salicornietea procumbentis var. strictae Tüxen in Tüxen & Oberdorfer 1958
02/3.;Salicornietea procumbentis var. strictae Tüxen in Tüxen & Oberdorfer 1958 ex Géhu & Géhu-Franck 1984
02/3.;Cakilo maritimae - Salicornietea europaeae Pignatti 1953
02/3.;Suaedetea splendentis Rivas-Martínez 1972
02/3.;Suaedetea splendentis Vicherek 1973
02/3.0.1;Salicornietalia europaeae Pignatti 1953 em. Tüxen 1954 apud Tüxen & Oberdorfer 1958
02/3.0.1;Salicornietalia europaeae Pignatti 1953 em. Tüxen 1955
02/3.0.1;Salicornietalia procumbentis var. strictae Tüxen 1954 apud Tüxen & Oberdorfer 1958
02/3.0.1;Salicornietalia procumbentis var. strictae Tüxen in Tüxen & Oberdorfer 1958 
