NAME_RELEVE;SP_NAME;STRATUM;COVER;CD_NOM
T0001_3;Cynosurus cristatus L.;;1;93860
T0001_3;Pimpinella saxifraga L.;;+;113596
T0001_3;Leucanthemum vulgare Lam.;;+;105817
T0001_3;Gentiana cruciata L.;;+;99881
T0001_3;Taraxacum officinale Weber;;1;125677
T0001_3;Luzula campestris (L.) Dc.;;+;106818
T0001_3;Trifolium pratense L.;;+;127439
T0001_3;Daucus carota L.;;+;94503
T0001_3;Achillea millefolium L.;;+;79908
T0001_3;Euphorbia cyparissias L.;;+;97490
T0001_3;Ranunculus bulbosus L.;;+;116952
T0001_3;Leontodon hispidus L.;;+;105502
T0001_3;Trisetum flavescens (L.) Beauv.;;1;127660
T0001_3;Primula officinalis;;+;115900
T0001_3;Plantago media L.;;2;113906
T0001_3;Linum catharticum L.;;+;106288
T0001_3;Thymus serpyllum L.;;+;126573
T0001_3;Carex flacca Schreber;;+;88510
T0001_3;Sanguisorba minor Scop.;;+;120753
T0001_3;Centaurea scabiosa L.;;+;89697
T0001_3;Juniperus communis L.;;+;104397
T0001_3;Holcus lanatus L.;;+;102900
T0001_3;Ononis spinosa L.;;2;110236
T0001_3;Hieracium pilosella L.;;+;102352
T0001_3;Cerastium fontanum Baumg.;;+;90008
T0001_3;Lolium perenne L.;;+;106499
T0001_3;Hypericum perforatum L.;;+;103316
T0001_3;Medicago lupulina L.;;+;107649
T0001_3;Polygala amara L.;;+;114525
T0001_3;Trifolium repens L.;;1;127454
T0001_3;Briza media L.;;1;86490
T0001_3;Vicia cracca L.;;+;129147
T0001_3;Crataegus monogyna Jacq.;;+;92876
T0001_4;Agrostis capillaris L.;;3;80591
T0001_4;Festuca duriuscula;;2;98205
T0001_4;Anthyllis vulneraria L.;;+;82999
T0001_4;Campanula rotundifolia L.;;+;87720
T0001_4;Cynosurus cristatus L.;;1;93860
T0001_4;Plantago media L.;;+;113906
T0001_4;Ononis spinosa L.;;+;110236
T0001_4;Carlina vulgaris L.;;+;89180
T0001_4;Centaurea jacea L.;;+;89619
T0001_4;Carex flacca Schreber;;2;88510
T0001_4;Cerastium arvense L.;;+;89968
T0001_4;Briza media L.;;1;86490
T0001_4;Trifolium repens L.;;+;127454
T0001_4;Poa pratensis L.;;+;114332
T0001_4;Plantago lanceolata L.;;+;113893
T0001_4;Luzula campestris (L.) Dc.;;+;106818
T0001_4;Medicago lupulina L.;;+;107649
T0001_4;Dactylis glomerata L.;;+;94207
T0001_4;Asperula cynanchica L.;;+;84306
T0001_4;Danthonia decumbens (L.) Dc.;;+;94402
T0001_4;Trifolium pratense L.;;+;127439
T0001_4;Cerastium fontanum Baumg.;;+;90008
T0001_4;Scabiosa columbaria L.;;+;121334
T0001_4;Bromus erectus Hudson;;3;86601
T0001_4;Sanguisorba minor Scop.;;+;120753
T0001_4;Hypericum perforatum L.;;1;103316
T0001_4;Lotus corniculatus L.;;+;106653
T0001_4;Galium mollugo L.;;+;99473
T0001_4;Pimpinella saxifraga L.;;1;113596
T0001_4;Koeleria cristata;;2;193739
T0001_4;Achillea millefolium L.;;+;79908
T0001_4;Thymus serpyllum L.;;3;126573
T0001_4;Anthoxanthum odoratum L.;;+;82922
T0001_4;Hieracium pilosella L.;;+;102352
T0001_5;Corylus avellana L.;;+;92606
T0001_5;Crataegus monogyna Jacq.;;+;92876
T0001_5;Holcus lanatus L.;;+;102900
T0001_5;Alchemilla xanthochlora Rothm.;;+;81195
T0001_5;Cynosurus cristatus L.;;3;93860
T0001_5;Leontodon autumnalis L.;;1;105480
T0001_5;Veronica chamaedrys L.;;+;128832
T0001_5;Thymus serpyllum L.;;+;126573
T0001_5;Plantago lanceolata L.;;+;113893
T0001_5;Senecio jacobaea L.;;+;122636
T0001_5;Leontodon hispidus L.;;+;105502
T0001_5;Ranunculus acer;;+;116903
T0001_5;Trisetum flavescens (L.) Beauv.;;+;127660
T0001_5;Lathyrus pratensis L.;;+;105247
T0001_5;Anthoxanthum odoratum L.;;1;82922
T0001_5;Carlina vulgaris L.;;+;89180
T0001_5;Ononis spinosa L.;;+;110236
T0001_5;Centaurea jacea L.;;+;89619
T0001_5;Cerastium fontanum Baumg.;;+;90008
T0001_5;Plantago media L.;;1;113906
T0001_5;Trifolium repens L.;;3;127454
T0001_5;Achillea millefolium L.;;+;79908
T0001_5;Agrostis capillaris L.;;2;80591
T0001_5;Prunella vulgaris L.;;1;116012
T0001_5;Astrantia major L.;;+;84936
T0001_5;Medicago lupulina L.;;+;107649
T0001_5;Lotus corniculatus L.;;+;106653
T0001_5;Vicia cracca L.;;+;129147
T0001_5;Trifolium pratense L.;;1;127439
T0001_5;Helianthemum ovatum;;+;100964
T0001_5;Hieracium pilosella L.;;+;102352
T0001_5;Daucus carota L.;;+;94503
T0001_5;Euphorbia cyparissias L.;;1;97490
T0001_5;Phleum pratense L.;;+;113221
T0001_5;Galium mollugo L.;;+;99473
T0001_5;Taraxacum officinale Weber;;1;125677
T0001_5;Pimpinella saxifraga L.;;+;113596
T0001_5;Lolium perenne L.;;1;106499
T0001_5;Bromus erectus Hudson;;+;86601
T0001_5;Dactylis glomerata L.;;1;94207
T0001_5;Festuca pratensis Hudson;;2;98460
T0001_5;Brachypodium pinnatum (L.) Beauv.;;+;86289
T0001_5;Campanula rotundifolia L.;;+;87720
T0001_5;Festuca rubra L.;;3;98512
T0001_5;Poa pratensis L.;;+;114332
T0001_6;Ranunculus acer;;+;116903
T0001_6;Vicia cracca L.;;+;129147
T0001_6;Lathyrus pratensis L.;;+;105247
T0001_6;Gentiana lutea L.;;+;99903
T0001_6;Lolium perenne L.;;+;106499
T0001_6;Prunella vulgaris L.;;1;116012
T0001_6;Carex flacca Schreber;;1;88510
T0001_6;Centaurea jacea L.;;2;89619
T0001_6;Trisetum flavescens (L.) Beauv.;;+;127660
T0001_6;Agrostis capillaris L.;;+;80591
T0001_6;Daucus carota L.;;+;94503
T0001_6;Rumex acetosa L.;;+;119418
T0001_6;Festuca rubra L.;;2;98512
T0001_6;Taraxacum officinale Weber;;1;125677
T0001_6;Achillea millefolium L.;;+;79908
T0001_6;Lotus corniculatus L.;;+;106653
T0001_6;Dactylis glomerata L.;;+;94207
T0001_6;Cynosurus cristatus L.;;3;93860
T0001_6;Trifolium pratense L.;;+;127439
T0001_6;Holcus lanatus L.;;2;102900
T0001_6;Leucanthemum vulgare Lam.;;1;105817
T0001_6;Medicago lupulina L.;;+;107649
T0001_6;Plantago media L.;;+;113906
T0001_6;Leontodon autumnalis L.;;1;105480
T0001_6;Briza media L.;;+;86490
T0001_6;Cerastium fontanum Baumg.;;+;90008
T0001_6;Heracleum sphondylium L.;;+;101300
T0001_6;Plantago lanceolata L.;;+;113893
T0001_6;Trifolium repens L.;;5;127454
T0001_7;Trisetum flavescens (L.) Beauv.;;+;127660
T0001_7;Bromus erectus Hudson;;1;86601
T0001_7;Medicago lupulina L.;;+;107649
T0001_7;Brachypodium pinnatum (L.) Beauv.;;+;86289
T0001_7;Campanula rotundifolia L.;;+;87720
T0001_7;Veronica chamaedrys L.;;1;128832
T0001_7;Vicia cracca L.;;+;129147
T0001_7;Leontodon autumnalis L.;;1;105480
T0001_7;Heracleum sphondylium L.;;+;101300
T0001_7;Pimpinella major (L.) Hudson;;+;113579
T0001_7;Senecio jacobaea L.;;+;122636
T0001_7;Holcus lanatus L.;;+;102900
T0001_7;Anthoxanthum odoratum L.;;+;82922
T0001_7;Phleum pratense L.;;+;113221
T0001_7;Carex flacca Schreber;;+;88510
T0001_7;Rhinanthus alectorolophus (Scop.) Pollich;;+;117587
T0001_7;Taraxacum officinale Weber;;2;125677
T0001_7;Leontodon hispidus L.;;+;105502
T0001_7;Prunella vulgaris L.;;1;116012
T0001_7;Agrostis capillaris L.;;+;80591
T0001_7;Ranunculus acer;;+;116903
T0001_7;Leucanthemum vulgare Lam.;;+;105817
T0001_7;Ononis spinosa L.;;+;110236
T0001_7;Rumex acetosa L.;;+;119418
T0001_7;Dactylis glomerata L.;;1;94207
T0001_7;Centaurea jacea L.;;+;89619
T0001_7;Trifolium repens L.;;5;127454
